,Team,Group,First_match_Against,Second_match_Against,Third_match_Against,SPI,Age,Height,Overall,Potential,Points to potential,Winners,Part.,Pts,GP,W,D,L,GF,GA,Dif,Pts/GP
0,Brazil,A,Bolivia,Venezuela,Peru,2.39,27.0,180.09,82.43,85.09,2.6599999999999966,8.0,35.0,332.0,178.0,99.0,35.0,44.0,405.0,200.0,205.0,1.87
1,Bolivia,A,Brazil,Peru,Venezuela,0.17,26.48,176.83,67.09,70.22,3.1299999999999955,1.0,26.0,86.0,112.0,20.0,26.0,66.0,104.0,279.0,-175.0,0.77
2,Venezuela,A,Peru,Brazil,Bolivia,0.73,24.61,179.22,71.26,76.39,5.1299999999999955,0.0,17.0,34.0,62.0,7.0,13.0,42.0,47.0,171.0,-124.0,0.55
3,Peru,A,Venezuela,Bolivia,Brazil,1.25,26.57,177.35,72.22,74.65,2.430000000000007,2.0,31.0,197.0,148.0,54.0,35.0,59.0,213.0,232.0,-19.0,1.33
4,Argentina,B,Colombia,Paraguay,Qatar,1.59,26.7,180.3,80.17,82.52,2.3499999999999943,14.0,41.0,398.0,189.0,120.0,38.0,31.0,455.0,173.0,282.0,2.11
5,Colombia,B,Argentina,Qatar,Paraguay,1.6,25.52,182.22,75.61,79.61,4.0,1.0,21.0,150.0,113.0,42.0,24.0,47.0,131.0,184.0,-53.0,1.33
6,Paraguay,B,Qatar,Argentina,Colombia,0.9,27.52,178.48,75.22,77.43,2.210000000000008,2.0,36.0,225.0,168.0,62.0,39.0,67.0,253.0,293.0,-40.0,1.34
7,Qatar,B,Paraguay,Colombia,Argentina,0.62,27.26,177.65,69.43,75.43,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Uruguay,C,Ecuador,Japan,Chile,1.55,26.22,181.96,79.96,83.0,3.0400000000000063,15.0,43.0,358.0,197.0,108.0,34.0,55.0,399.0,218.0,181.0,1.82
9,Ecuador,C,Uruguay,Chile,Japan,1.02,26.43,178.43,71.91,74.61,2.700000000000003,0.0,27.0,70.0,118.0,16.0,22.0,80.0,127.0,311.0,-184.0,0.59
10,Japan,C,Chile,Uruguay,Ecuador,1.3,24.35,178.17,70.0,76.7,6.700000000000003,0.0,1.0,1.0,3.0,0.0,1.0,2.0,3.0,8.0,-5.0,0.33
11,Chile,C,Japan,Ecuador,Uruguay,1.51,27.3,178.83,74.0,77.22,3.219999999999999,2.0,38.0,222.0,177.0,64.0,30.0,83.0,281.0,304.0,-23.0,1.25
