Nationality,Age,Height,Overall,Potential,Points to potential
Bolivia,26.48,176.83,67.09,70.22,3.1299999999999955
Qatar,27.26,177.65,69.43,75.43,6.0
Japan,24.35,178.17,70.0,76.7,6.700000000000003
Venezuela,24.61,179.22,71.26,76.39,5.1299999999999955
Ecuador,26.43,178.43,71.91,74.61,2.700000000000003
Peru,26.57,177.35,72.22,74.65,2.430000000000007
Chile,27.3,178.83,74.0,77.22,3.219999999999999
Paraguay,27.52,178.48,75.22,77.43,2.210000000000008
Colombia,25.52,182.22,75.61,79.61,4.0
Uruguay,26.22,181.96,79.96,83.0,3.0400000000000063
Argentina,26.7,180.3,80.17,82.52,2.3499999999999943
Brazil,27.0,180.09,82.43,85.09,2.6599999999999966
